;Unnamed: 0;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord;labelDoccano
0;0;sheldon_cooper Alright;;INTJ;UH;npadvmod;[0, 7];Alright;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;1.0;
1;1;,;;PUNCT;,;punct;[8, 9];,;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;2.0;
2;2;I;sheldon_cooper;PRON;PRP;nsubj;[10, 11];I;sheldon_cooper;;1.0;TheBigBangTheory.Season01.Episode05;1.0;3.0;sheldon_cooper
3;3;'m;;AUX;VBP;aux;[12, 14];'m;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;4.0;
4;4;moving;;VERB;VBG;ccomp;[15, 21];moving;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;5.0;
5;5;my;sheldon_cooper;DET;PRP$;poss;[22, 24];my;sheldon_cooper;;2.0;TheBigBangTheory.Season01.Episode05;1.0;6.0;sheldon_cooper
6;6;infantry;;NOUN;NN;compound;[25, 33];infantry;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;7.0;
7;7;division;;NOUN;NN;dobj;[34, 42];division;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;8.0;
8;8;,;;PUNCT;,;punct;[43, 44];,;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;9.0;
9;9;augmented;;VERB;VBN;advcl;[45, 54];augmented;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;10.0;
10;10;by;;ADP;IN;agent;[55, 57];by;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;11.0;
11;11;a;;DET;DT;det;[58, 59];a;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;12.0;
12;12;battalion;;NOUN;NN;pobj;[60, 69];battalion;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;13.0;
13;13;of;;ADP;IN;prep;[70, 72];of;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;14.0;
14;14;Orcs;;PROPN;NNP;pobj;[73, 77];Orcs;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;15.0;
15;15;from;;ADP;IN;prep;[78, 82];from;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;16.0;
16;16;Lord;;PROPN;NNP;pobj;[83, 87];Lord;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;17.0;
17;17;of;;ADP;IN;prep;[88, 90];of;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;18.0;
18;18;the;;DET;DT;det;[91, 94];the;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;19.0;
19;19;Rings;;PROPN;NNPS;pobj;[95, 100];Rings;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;20.0;
20;20;,;;PUNCT;,;punct;[101, 102];,;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;21.0;
21;21;we;multiple_persons;PRON;PRP;nsubj;[103, 105];we;sheldon_cooper;;3.0;TheBigBangTheory.Season01.Episode05;1.0;22.0;leonard_hofstadter-sheldon_cooper-howard_wolowitz-raj_koothrappali
22;22;flank;;VERB;VBP;ROOT;[106, 111];flank;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;23.0;
23;23;the;;DET;DT;det;[112, 115];the;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;24.0;
24;24;Tennessee;;PROPN;NNP;compound;[116, 125];Tennessee;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;25.0;
25;25;Volunteers;;PROPN;NNPS;dobj;[126, 136];Volunteers;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;26.0;
26;26;,;;PUNCT;,;punct;[137, 138];,;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;27.0;
27;27;and;;CCONJ;CC;cc;[139, 142];and;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;28.0;
28;28;the;;DET;DT;det;[143, 146];the;sheldon_cooper;;;TheBigBangTheory.Season01.Episode05;1.0;29.0;
29;29;North;;PROPN;NNP;nsubj;[147, 152];North;sheldon_cooper;PERSON;;TheBigBangTheory.Season01.Episode05;1.0;30.0;
