;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord
0;sheldon_cooper Well;;INTJ;UH;intj;[0, 4];Well;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;1
1;,;;PUNCT;,;punct;[5, 6];,;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;2
2;this;;DET;DT;det;[7, 11];this;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;3
3;sandwich;;NOUN;NN;nsubj;[12, 20];sandwich;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;4
4;is;;AUX;VBZ;ROOT;[21, 23];is;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;5
5;an;;DET;DT;det;[24, 26];an;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;6
6;unmitigated;;ADJ;JJ;amod;[27, 38];unmitigated;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;7
7;disaster;;NOUN;NN;attr;[39, 47];disaster;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;8
8;.;;PUNCT;.;punct;[48, 49];.;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;9
9;I;sheldon_cooper;PRON;PRP;nsubj;[50, 51];I;sheldon_cooper;;1;TheBigBangTheory.Season01.Episode14;1;10
10;asked;;VERB;VBD;ROOT;[52, 57];asked;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;11
11;for;;ADP;IN;prep;[58, 61];for;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;12
12;turkey;;PROPN;NNP;pobj;[62, 68];turkey;sheldon_cooper;GPE;;TheBigBangTheory.Season01.Episode14;1;13
13;and;;CCONJ;CC;cc;[69, 72];and;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;14
14;roast;;PROPN;NNP;compound;[73, 78];roast;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;15
15;beef;;NOUN;NN;conj;[79, 83];beef;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;16
16;with;;ADP;IN;prep;[84, 88];with;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;17
17;lettuce;;NOUN;NN;pobj;[89, 96];lettuce;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;18
18;and;;CCONJ;CC;cc;[97, 100];and;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;19
19;swiss;;ADJ;JJ;conj;[101, 106];swiss;sheldon_cooper;NORP;;TheBigBangTheory.Season01.Episode14;1;20
20;on;;ADP;IN;prep;[107, 109];on;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;21
21;wholewheat;;NOUN;NN;pobj;[110, 120];wholewheat;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;22
22;.;;PUNCT;.;punct;[121, 122];.;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;1;23
23;;;;;;;;;;;;;
24;raj_koothrappali What;;PRON;WP;dative;[0, 4];What;raj_koothrappali;;;TheBigBangTheory.Season01.Episode14;2;1
25;did;;AUX;VBD;aux;[5, 8];did;raj_koothrappali;;;TheBigBangTheory.Season01.Episode14;2;2
26;they;;PRON;PRP;nsubj;[9, 13];they;raj_koothrappali;;;TheBigBangTheory.Season01.Episode14;2;3
27;give;;VERB;VB;ROOT;[14, 18];give;raj_koothrappali;;;TheBigBangTheory.Season01.Episode14;2;4
28;you;sheldon_cooper;PRON;PRP;dobj;[19, 22];you;raj_koothrappali;;2;TheBigBangTheory.Season01.Episode14;2;5
29;?;;PUNCT;.;punct;[23, 24];?;raj_koothrappali;;;TheBigBangTheory.Season01.Episode14;2;6
30;;;;;;;;;;;;;
31;sheldon_cooper Turkey;;PROPN;NNP;ROOT;[0, 6];Turkey;sheldon_cooper;GPE;;TheBigBangTheory.Season01.Episode14;3;1
32;and;;CCONJ;CC;cc;[7, 10];and;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;2
33;roast;;NOUN;NN;compound;[11, 16];roast;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;3
34;beef;;NOUN;NN;conj;[17, 21];beef;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;4
35;with;;ADP;IN;prep;[22, 26];with;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;5
36;swiss;;ADJ;JJ;pobj;[27, 32];swiss;sheldon_cooper;NORP;;TheBigBangTheory.Season01.Episode14;3;6
37;and;;CCONJ;CC;cc;[33, 36];and;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;7
38;lettuce;;NOUN;NN;conj;[37, 44];lettuce;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;8
39;on;;ADP;IN;prep;[45, 47];on;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;9
40;wholewheat;;NOUN;NN;pobj;[48, 58];wholewheat;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;10
41;.;;PUNCT;.;punct;[59, 60];.;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;11
42;It;;PRON;PRP;nsubj;[61, 63];It;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;12
43;'s;;AUX;VBZ;ROOT;[64, 66];'s;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;13
44;the;;DET;DT;det;[67, 70];the;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;14
45;right;;ADJ;JJ;amod;[71, 76];right;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;15
46;ingredients;;NOUN;NNS;attr;[77, 88];ingredient;sheldon_cooper;;;TheBigBangTheory.Season01.Episode14;3;16
